gameKey,seasonName,date,winner,H_TEAM,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_UF,H_TF,H_EJ,H_TO,H_NR,H_TS%,H_eFG%,H_EFF,H_TOV%,H_OREB%,H_FT%,H_AST%,H_AST/TO%,H_CR,H_LC,H_LLP,H_PACE,A_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_UF,A_TF,A_EJ,A_TO,A_NR,A_TS%,A_eFG%,A_EFF,A_TOV%,A_OREB%,A_FT%,A_AST%,A_AST/TO%,A_CR,A_LC,A_LLP,A_PACE
S43G01N1,2023-2024,20231021,away,70,18,4,26,8,34,3,46,26,16,4,2,2,12,10,0,0,62,30,16,9,74,74,2,0,11,2400,1,0,0,11,-16.15885180426143,54.99405469678953,51.61290322580645,90,14.052120592743996,25.0,83.33333333333333,60.0,1.6363636363636365,6,8,5,71.78,55,19,0,24,13,37,4,55,29,23,8,0,0,12,7,9,18,78,37,15,8,89,90,9,0,3,2400,0,0,0,3,16.15885180426143,53.43419788664745,52.56410256410256,109,3.477051460361613,33.333333333333336,58.333333333333336,51.351351351351354,6.333333333333333,6,8,15,71.78
S43G01N10,2023-2024,20231027,home,10,16,4,23,11,34,11,50,26,21,6,1,1,14,8,2,4,71,32,22,9,78,85,6,1,10,2400,0,0,0,11,10.078590421835784,50.5443234836703,49.29577464788732,93,11.473152822395594,32.35294117647059,57.142857142857146,50.0,1.6,1,7,17,74.36,55,15,3,23,7,30,2,38,18,20,5,0,0,24,16,2,4,58,23,18,11,67,82,5,3,11,2400,0,0,1,14,-10.078590421835784,48.86231038506418,43.96551724137931,65,13.826043237807943,23.333333333333332,66.66666666666667,65.21739130434783,1.3636363636363635,1,7,7,74.36
S43G01N100,2023-2024,20231216,home,70,19,2,27,12,39,0,42,22,23,10,1,1,11,10,3,6,65,32,22,8,84,76,3,0,9,2400,0,0,1,9,18.896484175312736,60.13745704467354,56.92307692307692,104,11.415525114155251,35.294117647058826,90.9090909090909,59.375,2.111111111111111,5,4,21,68.53999999999999,35,20,2,22,13,35,2,45,26,21,3,0,0,21,14,10,16,66,29,17,11,75,87,5,0,8,2400,0,0,0,8,-18.896484175312736,49.84051036682616,46.21212121212121,87,9.610764055742433,32.5,66.66666666666667,68.96551724137932,2.5,5,4,9,68.53999999999999
S43G01N101,2023-2024,20231216,home,64,11,1,26,6,32,3,43,25,22,10,3,3,13,8,5,10,65,35,20,13,88,78,6,0,11,2400,0,0,0,11,19.253057104856893,62.217194570135746,61.53846153846154,95,13.46059716103769,19.35483870967742,61.53846153846154,31.428571428571427,1.0,3,7,22,73.44,50,11,1,25,11,36,2,36,13,26,10,0,0,14,13,3,7,62,23,21,14,69,76,6,1,14,2400,1,0,0,15,-19.253057104856893,50.61619718309859,45.16129032258065,70,17.039922103213243,29.72972972972973,92.85714285714286,47.82608695652174,0.7857142857142857,3,7,12,73.44
S43G01N102,2023-2024,20231216,home,55,23,2,26,17,43,6,55,28,26,9,0,0,6,2,3,6,81,37,17,8,85,87,9,2,12,2400,0,0,1,14,4.870329106881314,50.8130081300813,51.23456790123457,106,12.547051442910917,45.945945945945944,33.333333333333336,62.16216216216216,1.9166666666666667,4,3,19,76.62,10,21,4,20,4,24,5,43,22,18,7,0,0,15,12,8,17,61,29,14,10,77,76,9,1,11,2400,0,0,0,12,-4.870329106881314,56.952662721893496,53.278688524590166,93,13.994910941475828,13.333333333333334,80.0,72.41379310344827,1.9090909090909092,4,3,1,76.62
S43G01N103,2023-2024,20231217,away,16,16,2,26,7,33,3,37,18,29,9,1,1,22,19,2,4,66,27,18,7,82,88,5,1,11,2400,2,0,2,12,-9.87030830087268,54.17547568710359,47.72727272727273,87,12.690355329949238,20.0,86.36363636363636,59.25925925925926,1.4545454545454546,2,1,0,79.74000000000001,6,17,1,28,16,44,9,40,18,36,14,1,1,20,12,4,8,76,32,22,10,90,96,8,3,11,2400,0,0,1,14,9.87030830087268,53.06603773584906,51.31578947368421,103,11.482254697286013,38.095238095238095,60.0,53.125,1.5454545454545454,2,1,14,79.74000000000001
S43G01N104,2023-2024,20231217,home,50,24,5,28,14,42,4,51,22,28,12,1,1,15,13,4,8,79,34,23,10,93,94,6,0,5,2400,0,0,0,5,27.800336049450635,54.32242990654206,50.63291139240506,122,5.518763796909493,32.55813953488372,86.66666666666667,70.58823529411765,4.8,2,4,21,78.36,35,12,3,29,15,44,4,56,25,19,4,4,4,23,13,0,0,75,29,19,10,75,98,2,1,10,2400,0,0,1,11,-27.800336049450635,44.055451127819545,41.333333333333336,73,10.513036164844406,34.883720930232556,56.52173913043478,41.37931034482759,1.2,2,4,2,78.36
S43G01N105,2023-2024,20231217,home,60,18,2,31,18,49,6,50,25,22,2,1,1,18,13,5,10,72,27,15,12,69,90,5,1,14,2400,0,0,0,15,9.638472036571585,43.168168168168165,38.888888888888886,84,14.906303236797275,41.86046511627907,72.22222222222223,66.66666666666667,1.2857142857142858,2,7,10,75.5,66,16,3,25,12,37,2,43,19,30,7,0,0,7,2,0,0,73,26,21,12,61,80,9,0,11,2400,0,0,0,11,-9.638472036571585,40.089379600420614,40.41095890410959,65,12.632062471290768,27.906976744186046,28.571428571428573,61.53846153846154,1.4545454545454546,2,7,2,75.5
S43G01N106,2023-2024,20231218,away,70,18,1,19,10,29,1,29,15,33,12,1,1,19,14,0,0,62,27,21,13,80,81,7,1,11,2400,1,0,0,12,-14.987348748653474,56.85048322910745,53.225806451612904,84,13.52015732546706,30.303030303030305,73.6842105263158,66.66666666666667,1.6363636363636365,2,4,3,71.47999999999999,64,19,3,23,14,37,2,48,32,21,6,4,3,15,9,8,16,69,38,24,13,91,84,10,1,10,2400,0,0,0,11,14.987348748653474,60.18518518518519,59.42028985507246,114,11.682242990654206,42.42424242424242,60.0,50.0,1.9,2,4,14,71.47999999999999
S43G01N107,2023-2024,20231219,away,6,18,0,26,13,39,5,34,14,33,10,3,3,19,13,0,0,67,24,16,6,71,86,4,1,10,2400,0,0,0,11,-22.893158857698353,47.10721868365181,43.28358208955224,77,11.715089034676664,33.333333333333336,68.42105263157895,75.0,1.8,2,14,3,71.3,55,21,3,26,6,32,3,41,24,21,8,1,1,21,13,7,13,62,32,21,11,85,83,8,0,5,2400,0,0,0,5,22.893158857698353,59.657495788882656,58.064516129032256,109,6.558237145855195,18.75,61.904761904761905,65.625,4.2,2,14,16,71.3
S43G01N108,2023-2024,20231219,away,10,24,3,26,10,36,5,54,27,15,3,0,0,25,18,3,5,69,30,23,12,81,94,6,0,11,2400,0,0,0,11,-9.546165884194039,50.625,45.65217391304348,98,12.087912087912088,30.303030303030305,72.0,80.0,2.1818181818181817,3,4,14,78.84,60,26,3,23,12,35,4,44,20,24,10,0,0,22,14,2,4,68,30,23,11,84,90,4,0,11,2400,1,0,2,11,9.546165884194039,54.06797116374871,51.470588235294116,99,12.404149751917004,31.57894736842105,63.63636363636363,86.66666666666667,2.3636363636363638,3,4,6,78.84
S43G01N109,2023-2024,20231221,away,64,10,3,19,3,22,4,43,25,24,5,2,2,13,7,6,13,67,30,22,12,72,80,8,0,9,2400,0,0,1,9,-19.676752729870387,49.504950495049506,48.507462686567166,67,11.013215859030836,8.823529411764707,53.84615384615385,33.333333333333336,1.1111111111111112,2,1,0,77.6,16,19,1,31,18,49,4,48,28,25,5,2,2,17,14,4,8,73,33,22,16,85,90,7,2,14,2400,0,1,0,16,19.676752729870387,52.80815109343936,48.63013698630137,106,14.817950889077053,48.648648648648646,82.3529411764706,57.57575757575758,1.3571428571428572,2,1,21,77.6
S43G01N11,2023-2024,20231027,home,35,20,2,33,17,50,7,44,27,22,7,1,1,34,23,0,0,66,34,25,15,98,100,1,0,8,2400,1,0,1,8,30.49571351744642,60.52371541501976,56.81818181818182,127,8.992805755395683,51.515151515151516,67.6470588235294,58.8235294117647,2.5,3,11,21,72.88,66,14,4,16,6,22,1,31,12,37,12,1,1,20,18,2,5,68,24,28,10,78,88,5,0,3,2400,0,0,1,3,-30.49571351744642,50.78125,44.11764705882353,75,3.7593984962406015,15.384615384615385,90.0,58.333333333333336,4.666666666666667,3,11,6,72.88
S43G01N110,2023-2024,20231221,away,66,14,6,26,7,33,1,30,19,27,7,1,1,14,11,1,2,57,26,15,11,70,71,5,0,16,2400,0,0,0,16,-17.14859925685184,55.41481950601647,51.75438596491228,79,20.2122283981809,24.137931034482758,78.57142857142857,53.84615384615385,0.875,2,5,1,71.12,55,17,0,22,9,31,5,39,22,29,10,0,0,7,6,8,17,68,32,16,8,80,75,10,2,8,2400,0,0,1,10,17.14859925685184,56.274620146314014,54.411764705882355,96,10.116337885685383,25.714285714285715,85.71428571428571,53.125,2.125,2,5,28,71.12
S43G01N111,2023-2024,20231222,home,10,25,4,28,10,38,0,42,25,19,9,2,2,21,17,6,12,61,34,22,14,94,82,10,1,18,2400,0,0,0,19,31.15806029916459,66.91343963553531,63.114754098360656,121,20.398912058023573,37.03703703703704,80.95238095238095,73.52941176470588,1.3888888888888888,5,4,20,80.69999999999999,6,17,3,17,10,27,7,50,26,21,4,5,5,14,10,8,14,71,30,19,7,74,85,13,0,16,2400,1,0,0,16,-31.15806029916459,47.95230689476413,45.070422535211264,80,17.174753112924,26.31578947368421,71.42857142857143,56.666666666666664,1.0625,5,4,4,80.69999999999999
S43G01N112,2023-2024,20231222,away,70,19,5,20,12,32,1,45,22,22,7,1,1,15,10,5,10,67,29,14,9,75,82,5,0,13,2400,0,0,0,13,-37.982720129806125,50.95108695652174,48.507462686567166,81,15.011547344110856,31.57894736842105,66.66666666666667,65.51724137931035,1.4615384615384615,4,6,5,74.84,60,27,1,26,11,37,2,43,30,32,13,2,2,7,5,7,15,75,43,19,11,104,82,6,1,8,2400,0,0,0,9,37.982720129806125,66.59836065573771,66.0,134,9.29368029739777,35.483870967741936,71.42857142857143,62.7906976744186,3.375,4,6,33,74.84
S43G01N113,2023-2024,20231223,away,50,13,1,29,9,38,4,24,10,25,8,0,0,24,18,1,0,49,18,16,10,62,73,6,1,24,2400,0,0,0,25,-4.181738103716484,52.04835460040295,44.89795918367347,62,28.721876495931067,30.0,75.0,72.22222222222223,0.5416666666666666,2,2,12,73.92,55,11,1,21,11,32,4,50,22,20,4,1,1,12,8,5,9,70,26,21,9,64,82,17,1,9,2400,1,0,1,10,4.181738103716484,42.507970244420825,40.0,71,10.678690080683436,27.5,66.66666666666667,42.30769230769231,1.2222222222222223,2,2,10,73.92
S43G01N114,2023-2024,20231223,away,66,14,2,20,16,36,4,34,16,40,8,1,1,5,2,3,6,74,24,16,5,58,79,8,0,21,2400,0,0,0,21,-47.68069837981801,38.05774278215223,37.83783783783784,48,21.604938271604937,36.36363636363637,40.0,58.333333333333336,0.6666666666666666,6,4,2,79.22,16,26,2,28,8,36,4,40,23,22,10,1,1,21,16,8,16,62,33,18,15,92,83,13,1,14,2400,0,0,0,15,47.68069837981801,64.57046603032005,61.29032258064516,124,16.42421398404505,28.571428571428573,76.19047619047619,78.78787878787878,1.8571428571428572,6,4,41,79.22
S43G01N115,2023-2024,20231223,home,64,20,5,31,9,40,2,40,24,33,13,4,4,22,20,3,6,73,37,26,12,107,95,10,0,6,2400,0,0,0,6,30.331773340827795,64.70730527334301,59.58904109589041,140,6.7658998646820026,31.03448275862069,90.9090909090909,54.054054054054056,3.3333333333333335,8,3,35,79.28,35,15,0,20,14,34,4,45,19,22,7,2,2,27,23,0,0,67,26,21,9,82,94,3,0,14,2400,0,0,0,14,-30.331773340827795,51.97768762677485,44.02985074626866,79,15.073212747631352,31.11111111111111,85.18518518518519,57.69230769230769,1.0714285714285714,8,3,1,79.28
S43G01N116,2023-2024,20231224,away,66,13,0,17,11,28,2,33,18,32,9,0,0,16,9,1,2,65,27,19,10,72,81,6,0,9,2400,0,0,0,9,-32.416178745260524,49.97223764575236,48.46153846153846,67,11.105626850937808,27.5,56.25,48.148148148148145,1.4444444444444444,7,1,0,69.04,10,27,3,29,13,42,1,37,21,29,13,0,0,16,11,5,9,66,34,21,12,92,82,6,1,8,2400,0,0,0,9,32.416178745260524,62.979189485213574,61.36363636363637,125,9.871668311944719,43.333333333333336,68.75,79.41176470588235,3.375,7,1,24,69.04
S43G01N117,2023-2024,20231224,away,70,20,1,13,13,26,3,42,18,34,14,2,1,9,7,2,5,76,32,20,11,85,85,7,0,8,2400,1,0,0,8,-42.25357288809312,53.151575787893954,51.31578947368421,88,9.095043201455207,30.232558139534884,77.77777777777777,62.5,2.5,2,2,4,73.78,6,27,3,30,14,44,0,38,27,31,16,6,6,15,11,4,8,69,43,17,12,113,84,6,0,11,2400,0,0,0,11,42.25357288809312,74.73544973544973,73.91304347826087,152,12.702078521939955,51.851851851851855,73.33333333333333,62.7906976744186,2.4545454545454546,2,2,39,73.78
S43G01N118,2023-2024,20231224,away,50,22,3,29,11,40,2,47,22,30,11,0,0,18,14,5,10,77,33,25,9,91,95,5,0,3,2400,0,1,2,3,-5.6514264745955245,53.5798398492699,50.0,112,3.4121929026387625,27.5,77.77777777777777,66.66666666666667,7.333333333333333,2,7,3,76.78,60,17,3,29,9,38,4,45,29,20,5,2,2,31,22,5,9,65,34,19,9,95,96,1,0,7,2400,0,0,0,7,5.6514264745955245,60.40183112919634,56.15384615384615,111,8.173750583839327,23.68421052631579,70.96774193548387,50.0,2.4285714285714284,2,7,11,76.78
S43G01N119,2023-2024,20231225,home,16,17,5,22,4,26,4,45,28,21,11,2,2,19,13,7,14,66,39,18,10,102,85,11,0,11,2400,0,0,1,11,9.790842116185644,68.5852608929532,67.42424242424242,121,12.88659793814433,16.666666666666668,68.42105263157895,43.58974358974359,1.5454545454545454,3,3,14,80.47999999999999,10,22,4,20,16,36,5,51,26,23,9,2,2,15,13,8,16,74,35,21,11,92,89,9,1,15,2400,0,0,0,16,-9.790842116185644,57.07196029776675,53.37837837837838,111,15.690376569037658,42.10526315789474,86.66666666666667,62.857142857142854,1.4666666666666666,3,3,4,80.47999999999999
S43G01N12,2023-2024,20231028,home,16,21,7,24,7,31,2,43,29,27,11,2,2,12,10,3,6,70,40,18,11,101,82,9,0,11,2400,0,0,0,11,14.501436156720061,67.08289054197662,65.0,128,12.749188687992582,23.333333333333332,83.33333333333333,52.5,1.9090909090909092,4,2,11,79.5,60,22,0,23,11,34,2,50,25,23,11,0,0,13,7,6,11,73,36,16,9,90,86,9,1,12,2400,0,0,0,13,-14.501436156720061,57.16463414634146,56.84931506849315,101,13.227513227513228,31.428571428571427,53.84615384615385,61.111111111111114,1.8333333333333333,4,2,18,79.5
S43G01N120,2023-2024,20231225,home,55,29,7,30,9,39,3,56,33,22,4,2,2,16,11,14,22,78,37,23,11,89,94,12,0,7,2400,1,0,0,7,20.11844043975971,52.3283160865475,50.0,126,7.6053889613211645,23.68421052631579,68.75,78.37837837837837,4.142857142857143,2,3,21,84.02000000000001,35,14,2,29,22,51,6,57,21,24,4,5,5,25,20,4,9,81,25,17,8,74,106,5,0,15,2400,0,0,0,15,-20.11844043975971,40.21739130434783,33.333333333333336,76,14.018691588785046,42.30769230769231,80.0,56.0,0.9333333333333333,2,3,3,84.02000000000001
S43G01N121,2023-2024,20231225,away,64,14,1,20,7,27,4,44,28,22,8,3,3,13,10,5,11,66,36,24,12,90,79,6,1,7,2400,0,0,1,8,-5.587905877063648,62.744004461795875,60.60606060606061,101,8.892276422764228,25.0,76.92307692307692,38.888888888888886,2.0,3,2,7,72.47999999999999,60,23,1,21,8,29,2,36,21,27,13,0,0,21,15,3,6,63,34,19,12,96,84,4,0,9,2400,0,0,0,9,5.587905877063648,66.44518272425249,64.28571428571429,111,11.078286558345644,28.571428571428573,71.42857142857143,67.6470588235294,2.5555555555555554,3,2,11,72.47999999999999
S43G01N122,2023-2024,20231226,home,50,26,1,23,11,34,3,43,27,28,9,0,0,16,13,11,25,71,36,16,12,94,87,10,0,6,2400,0,0,0,6,26.683546928837103,60.2255253716043,57.04225352112676,124,7.139457401237506,30.555555555555557,81.25,72.22222222222223,4.333333333333333,3,9,24,73.28,70,20,2,25,6,31,1,32,18,31,11,0,0,8,6,1,2,63,29,18,9,75,71,3,2,13,2400,0,0,0,15,-26.683546928837103,56.3740228502706,54.76190476190476,81,16.348088531187123,20.689655172413794,75.0,68.96551724137932,1.5384615384615385,3,9,3,73.28
S43G01N123,2023-2024,20231228,away,64,18,1,18,8,26,3,41,25,22,6,3,3,10,7,5,10,63,31,18,11,75,73,9,1,15,2400,0,0,0,16,-13.810592615791506,55.637982195845694,53.96825396825397,81,18.20388349514563,26.666666666666668,70.0,58.064516129032256,1.2,8,2,3,74.28,6,25,0,22,15,37,3,40,23,27,11,1,1,14,6,3,5,67,34,18,12,85,81,8,0,16,2400,0,0,0,16,13.810592615791506,58.09185347184254,58.95522388059702,101,17.945266935845673,45.45454545454545,42.857142857142854,73.52941176470588,1.5625,8,2,24,74.28
S43G01N124,2023-2024,20231228,home,66,17,1,23,12,35,3,46,27,25,8,1,1,9,7,3,6,71,35,21,14,85,80,6,1,10,2400,0,1,0,11,8.903893301265924,56.69690501600854,54.929577464788736,98,11.77024482109228,35.294117647058826,77.77777777777777,48.57142857142857,1.7,2,5,6,74.12,70,17,0,22,10,32,5,37,20,31,10,0,0,12,11,1,2,68,30,21,15,81,80,6,0,12,2400,0,0,2,12,-8.903893301265924,55.2674672489083,51.470588235294116,90,14.071294559099437,30.303030303030305,91.66666666666667,56.666666666666664,1.4166666666666667,2,5,15,74.12
S43G01N125,2023-2024,20231228,home,10,31,2,29,10,39,4,44,27,29,12,1,1,16,12,7,12,73,39,23,6,102,89,10,0,9,2400,0,0,1,9,19.568933330830347,63.718140929535224,61.64383561643836,141,10.107816711590296,29.41176470588235,75.0,79.48717948717949,3.4444444444444446,5,10,24,78.34,35,26,2,24,8,32,1,39,18,22,10,0,0,31,19,7,13,61,28,20,11,85,92,7,1,11,2400,0,0,1,12,-19.568933330830347,56.939978563772776,54.09836065573771,96,12.844465203176085,21.62162162162162,61.29032258064516,92.85714285714286,2.3636363636363638,5,10,8,78.34
S43G01N126,2023-2024,20231229,home,16,27,2,33,8,41,4,47,31,23,8,2,2,6,5,4,9,70,39,17,10,91,76,4,0,11,2400,0,0,0,11,18.570416511602346,62.63766519823788,61.42857142857143,126,13.151602104256337,32.0,83.33333333333333,69.23076923076923,2.4545454545454546,5,1,22,74.68,50,14,2,17,16,33,6,45,19,34,9,0,0,13,10,4,8,79,28,17,13,75,92,6,0,5,2400,0,0,0,5,-18.570416511602346,44.26345609065156,41.139240506329116,77,5.572893446277307,32.6530612244898,76.92307692307692,50.0,2.8,5,1,0,74.68
S43G01N127,2023-2024,20231230,away,66,17,0,25,18,43,1,45,19,31,6,2,2,17,11,3,6,76,25,17,8,67,93,5,0,10,2400,0,0,0,10,-25.840307885961963,40.12937230474365,36.8421052631579,66,10.69747539580659,33.9622641509434,64.70588235294117,68.0,1.7,5,1,0,75.26,35,22,2,35,8,43,1,41,24,24,10,1,1,16,8,6,12,65,34,20,11,86,81,4,0,11,2400,0,0,1,11,25.840307885961963,59.68906163242642,60.0,108,13.246628131021193,24.242424242424242,50.0,64.70588235294117,2.0,5,1,33,75.26
S43G01N128,2023-2024,20231230,away,70,15,2,24,7,31,1,29,12,43,12,0,0,10,8,1,2,72,24,19,12,68,82,9,2,8,2400,0,0,0,10,-22.00673656746669,44.502617801047116,41.666666666666664,66,9.47867298578199,15.909090909090908,80.0,62.5,1.875,5,1,0,77.84,55,23,5,37,4,41,5,46,31,18,5,4,4,12,9,9,18,64,36,16,11,86,76,6,0,13,2400,0,0,0,13,22.00673656746669,62.06697459584296,60.15625,122,15.799708313077296,14.285714285714286,75.0,63.888888888888886,1.7692307692307692,5,1,26,77.84
S43G01N129,2023-2024,20231230,home,6,25,2,19,12,31,4,44,25,30,14,2,2,9,6,3,6,74,39,20,14,98,83,15,1,9,2400,1,0,0,10,23.50125062393313,62.852744997434584,62.16216216216216,127,10.34958601655934,37.5,66.66666666666667,64.1025641025641,2.7777777777777777,7,1,22,76.18,60,17,2,20,12,32,4,41,21,26,11,0,0,10,8,2,4,67,32,14,9,83,77,3,1,18,2400,0,0,0,19,-23.50125062393313,58.12324929971988,55.97014925373134,85,20.13422818791946,38.70967741935484,80.0,53.125,0.9444444444444444,7,1,0,76.18
S43G01N13,2023-2024,20231028,away,64,14,0,18,12,30,1,33,18,31,12,3,2,16,11,1,2,64,30,18,12,83,80,2,1,7,2400,0,0,0,8,-11.960725251837644,58.41779279279279,56.25,83,8.969759097898512,32.432432432432435,68.75,46.666666666666664,2.0,2,8,5,66.44,50,22,1,25,10,35,1,40,25,26,12,1,1,11,6,3,7,66,37,22,14,92,77,4,1,6,2400,0,0,0,7,11.960725251837644,64.93506493506493,65.15151515151516,114,7.808433107756376,35.714285714285715,54.54545454545455,59.45945945945946,3.6666666666666665,2,8,13,66.44
S43G01N130,2023-2024,20231231,away,70,14,4,22,9,31,1,34,16,36,16,0,0,9,6,4,9,70,32,19,13,86,79,8,1,8,2400,0,0,0,9,-2.4688078892884278,58.139534883720934,57.142857142857146,94,9.760858955588093,24.324324324324323,66.66666666666667,43.75,1.75,3,7,5,75.12,16,20,4,28,12,40,6,45,26,30,10,2,2,12,11,6,12,75,36,14,8,93,87,4,1,9,2400,0,0,0,10,2.4688078892884278,57.922272047832585,54.666666666666664,117,10.080645161290322,35.294117647058826,91.66666666666667,55.55555555555556,2.2222222222222223,3,7,15,75.12
S43G01N131,2023-2024,20231231,home,50,15,2,28,9,37,3,43,18,22,10,0,0,18,13,6,12,65,28,18,11,79,83,5,1,7,2400,0,0,1,8,11.002711868458803,54.16895227646736,50.76923076923077,91,8.75875875875876,24.324324324324323,72.22222222222223,53.57142857142857,2.142857142857143,9,6,14,71.32,66,17,1,28,14,42,4,39,15,32,11,0,0,13,9,2,2,71,26,22,12,72,84,5,2,9,2400,0,0,0,11,-11.002711868458803,46.923879040667366,44.36619718309859,81,10.499300046663556,33.333333333333336,69.23076923076923,65.38461538461539,1.8888888888888888,9,6,7,71.32
S43G01N132,2023-2024,20231231,away,64,13,4,16,9,25,2,37,19,24,9,2,2,22,18,3,6,61,28,20,12,83,83,3,1,5,2400,1,0,1,6,-8.660989695552047,58.71533672891907,53.278688524590166,87,6.60676532769556,28.125,81.81818181818181,46.42857142857143,2.6,2,7,4,67.14,10,21,2,23,12,35,3,45,26,20,8,2,2,15,14,2,4,65,34,27,16,90,80,2,4,8,2400,0,0,0,12,8.660989695552047,62.84916201117319,58.46153846153846,109,10.050251256281408,42.857142857142854,93.33333333333333,61.76470588235294,2.625,2,7,15,67.14
S43G01N133,2023-2024,20240101,home,6,15,2,18,11,29,6,50,27,24,6,3,2,17,11,6,8,74,33,21,11,83,91,11,0,4,2400,0,0,0,4,1.0640366289422616,50.9327442317133,48.648648648648646,95,4.679457182966775,26.829268292682926,64.70588235294117,45.45454545454545,3.75,7,7,14,73.48,60,18,6,30,11,41,2,38,23,24,8,0,0,17,10,4,8,62,31,19,9,80,79,1,2,14,2400,0,1,0,16,-1.0640366289422616,57.570523891767415,56.45161290322581,94,16.770483948251076,37.93103448275862,58.8235294117647,58.064516129032256,1.2857142857142858,7,7,7,73.48
S43G01N134,2023-2024,20240101,away,35,20,3,27,10,37,1,32,14,35,14,2,2,7,6,3,7,67,28,21,12,76,74,4,0,14,2400,0,0,0,14,-1.8468496410626614,54.22374429223744,52.23880597014925,87,16.650808753568032,27.027027027027028,85.71428571428571,71.42857142857143,1.4285714285714286,3,11,5,75.34,55,20,4,27,18,45,3,55,28,25,5,2,2,15,9,6,12,80,33,16,13,80,95,8,0,8,2400,0,0,1,8,1.8468496410626614,46.18937644341802,44.375,99,8.456659619450317,40.0,60.0,60.60606060606061,2.5,3,11,10,75.34
S43G01N135,2023-2024,20240102,away,16,22,3,23,9,32,2,33,23,28,10,2,2,19,12,2,4,61,33,18,13,88,80,5,0,19,2400,0,0,1,19,-11.254275367178593,63.437139561707035,62.295081967213115,98,21.502942507922135,31.03448275862069,63.1578947368421,66.66666666666667,1.1578947368421053,2,6,3,78.16,66,22,4,20,13,33,5,34,19,42,17,2,2,9,5,2,4,76,36,22,12,94,85,12,3,10,2400,0,0,1,13,11.254275367178593,58.77938969484743,58.55263157894737,113,11.116051578479325,36.111111111111114,55.55555555555556,61.111111111111114,2.2,2,6,17,78.16
S43G01N136,2023-2024,20240102,home,70,12,2,24,15,39,6,45,23,29,7,0,0,23,17,0,0,74,30,22,10,84,97,6,1,5,2400,0,0,1,6,1.7225927068075038,49.928673323823105,45.270270270270274,93,5.6104129263913824,40.54054054054054,73.91304347826087,40.0,2.4,7,6,8,72.9,50,20,1,22,6,28,6,36,23,24,6,1,1,22,16,4,7,60,29,25,12,80,82,2,0,8,2400,0,0,1,8,-1.7225927068075038,57.405281285878296,53.333333333333336,92,10.298661174047373,20.0,72.72727272727273,68.96551724137932,2.5,7,6,14,72.9
S43G01N137,2023-2024,20240103,away,60,15,2,27,8,35,4,31,19,33,8,1,1,17,12,4,8,64,27,18,11,74,81,6,0,10,2400,0,0,0,10,-1.414340357144411,51.76273083379966,48.4375,84,12.272950417280313,25.0,70.58823529411765,55.55555555555556,1.5,2,13,5,74.44,55,11,4,24,13,37,6,58,29,19,4,1,1,10,7,6,13,77,33,18,8,77,87,5,0,7,2400,0,0,1,7,1.414340357144411,47.29729729729729,45.45454545454545,86,7.918552036199094,32.5,70.0,33.333333333333336,1.5714285714285714,2,13,14,74.44
S43G01N138,2023-2024,20240104,home,64,15,1,25,16,41,2,37,15,29,14,0,0,9,9,3,6,66,29,19,12,81,75,7,1,12,2400,0,1,0,13,19.434893509714513,57.89022298456261,54.54545454545455,97,14.641288433382138,44.44444444444444,100.0,51.724137931034484,1.25,5,10,20,66.84,70,14,5,20,12,32,2,34,13,29,12,0,0,13,8,2,4,63,25,17,12,70,76,9,0,11,2400,0,0,0,11,-19.434893509714513,50.93131548311991,49.20634920634921,78,13.798294029101857,32.432432432432435,61.53846153846154,56.0,1.2727272727272727,5,10,8,66.84
S43G01N139,2023-2024,20240104,away,35,16,0,16,13,29,3,36,15,32,8,1,1,9,7,0,0,68,23,14,9,61,77,4,0,13,2400,0,0,0,13,-62.457670562802335,42.38465814341301,39.705882352941174,53,15.301318267419964,30.232558139534884,77.77777777777777,69.56521739130434,1.2307692307692308,3,3,2,70.96,6,21,3,30,11,41,3,30,23,40,17,3,3,9,6,5,11,70,40,16,12,103,79,12,2,7,2400,0,0,0,9,62.457670562802335,69.6322336398053,69.28571428571429,141,8.646245059288539,40.74074074074074,66.66666666666667,52.5,3.0,3,3,42,70.96
S43G01N14,2023-2024,20231028,away,6,15,5,31,12,43,2,41,16,25,6,1,1,10,9,4,8,66,22,20,12,59,76,8,2,17,2400,0,0,0,19,-5.705887010570478,41.903409090909086,37.878787878787875,68,19.450800915331808,30.0,90.0,68.18181818181819,0.8823529411764706,7,8,10,75.22,70,14,7,28,8,36,1,38,18,25,5,0,0,16,12,1,2,63,23,15,10,63,79,9,1,13,2400,0,0,0,14,5.705887010570478,44.97430039977156,40.476190476190474,72,15.655105973025046,20.512820512820515,75.0,60.869565217391305,1.0769230769230769,7,8,13,75.22
